Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,0.627033892,0.455175143,,,1.740370899,,0.454118384,2.94256491,1.647466865,1.116363271,2.502615273,0.692738528,1.491554421,2.8021234,5.064262873,3.846268945,3.92037855,4.070854677,3.141892088,2.91836504,3.565624384,4.990512098,4.314267461,4.050337504,4.423234336,3.898699045,3.686469652,4.136166321,3.39202271,3.286189256,2.466998329,2.656090116,2.049371932,1.820183203,2.268085229,3.25702601,3.89265305,2.17728044,1.916566586,3.696323195,2.794764675,3.994515711,3.863034992,4.895055769,6.867763105,6.674389059,6.344230733,6.600869271,6.957462146,5.198794521,6.220941077,8.735123635,7.220607966,6.399848428,6.83697188,5.913722919,6.315827512,6.250734388,6.977365923,5.330167332,5.330167319,,
Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,92.48353044,92.57866614,,,87.74607703,,91.512684,83.09992132,86.69639539,82.95283114,80.91252917,82.6528774,83.34306431,81.26614772,83.29400794,88.49444382,86.97440739,84.62509091,83.58302667,84.22735685,83.72592548,83.67628238,81.95022099,82.00064836,81.12424726,83.88262759,83.91245407,78.14554114,80.39113923,79.03425585,84.54440796,84.02290374,85.19431781,86.10998303,82.39550216,82.649376,81.4030244,83.03055026,83.21949868,81.87928632,82.3456602,81.56479792,78.66087007,74.45559444,73.53945951,71.75815942,72.00023293,72.19497403,69.56239308,67.53870097,69.4014995,67.86791573,65.37728521,65.99822798,66.32703741,64.32519937,59.97117032,41.01925679,39.47283698,40.60487021,40.60487021,,
Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,,,,,,,68.69796735,,73.46437858,77.65881785,79.32565742,75.10830536,,77.41913211,72.68958597,72.857177,77.47380095,77.33778773,78.64998923,75.69148305,71.71262177,72.59951319,73.54221725,71.30137122,73.16531665,67.01929581,69.51105447,63.76790346,,,,,64.99873995,65.79289248,61.58433684,64.72265894,63.18294449,62.38083193,64.80502499,67.11672146,66.63667804,68.77354457,70.33747892,73.19073634,73.94035646,76.46579706,75.80905999,74.87990599,73.98835605,79.75220661,78.43085737,71.73930685,67.40488615,70.13067868,72.04291232,73.1769028,74.62027119,72.96536605,,,,,
Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,25.77836513,,19.29854693,15.71472903,12.7373196,15.63013932,,16.09275814,19.81681157,21.70112919,17.73769957,17.18204626,16.61248136,18.51801005,20.9550381,20.7408853,20.68934116,21.21634149,19.20045742,25.42061723,21.9484424,27.35147795,,,,,28.50790445,27.35863582,33.03633792,29.45408335,31.25619232,31.82434523,29.87474465,27.42322675,28.16847626,26.13615176,25.08334733,22.42145202,21.91339948,19.32753541,19.20572448,19.83432882,21.42501112,16.33883689,16.3010015,22.79210751,19.84929224,19.06224232,20.10336849,19.31501455,19.02816612,20.23004146,,,,,
"Tariff rate, applied, weighted mean, primary products (%)",TM.TAX.TCOM.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.94,,,,12.67,14.64,,,10.48,12.87,10.55,,9.16,9.39,8.66,8.03,8.89,,,,,9.97,9.85,10.29,9.79,9.8,9.84,9.84,,
"Share of tariff lines with international peaks, primary products (%)",TM.TAX.TCOM.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.30262,,,,38.31883,35.62637,,,43.44751,43.25604,41.73418,,40.0491,40.38736,42.50917,59.71223,49.66088,,,,,54.91184,53.73238,51.1346,54.41151,40.68682,40.80781,40.80781,,
"Tariff rate, applied, weighted mean, all products (%)",TM.TAX.MRCH.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.44,,,,16.93,17.26,,,15.16,12.99,11.97,,10.23,9.93,9.63,9.2,9.36,,,,,8.35,8.27,8.85,9.38,9.98,9.99,10.16,,
"Share of tariff lines with international peaks, all products (%)",TM.TAX.MRCH.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.49336,,,,51.98045,50.5245,,,50.7981,42.32887,41.15364,,40.80536,40.02033,39.9162,60.5801,53.3737,,,,,44.97395,45.00845,45.11365,46.2756,33.20832,33.40194,33.62692,,
"Tariff rate, applied, weighted mean, manufactured products (%)",TM.TAX.MANF.WM.AR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.83,,,,19.51,18.68,,,17.29,13.05,12.49,,10.55,10.1,9.95,9.6,9.48,,,,,7.66,7.66,8.36,9.25,10.03,10.04,10.26,,
"Share of tariff lines with international peaks, manufactured products (%)",TM.TAX.MANF.IP.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.36613,,,,53.79715,52.56101,,,51.73089,42.19884,41.08639,,40.90303,39.97989,39.59277,60.68623,53.87244,,,,,43.70378,43.92992,44.39214,45.41882,32.42001,32.61895,32.86782,,
Merchandise trade (% of GDP),TG.VAL.TOTL.GD.ZS,60.87496674,57.13119137,29.22888879,53.34848662,49.15243948,41.7054027,41.58087339,40.40499479,42.70345832,45.63975595,46.59170286,41.04638264,41.34928139,47.34803402,66.02637972,65.5486807,58.32501961,62.31608409,56.41679114,54.00721429,57.68927078,57.94772671,52.92081176,47.09294041,42.9862645,39.14883395,26.78515023,22.87334304,26.23144054,34.22323229,36.50369832,44.20803011,41.2889714,38.43182578,42.41808286,48.74499048,47.59109571,46.87239372,40.69288768,44.58614412,56.94793397,53.10651278,54.2068483,52.37398088,57.97668289,64.30247039,65.00108342,65.04363429,69.45994963,61.5606604,60.49725772,60.36404651,58.47342266,57.21055428,55.48899078,52.03663294,48.18657147,47.76686566,50.38400033,46.54394026,39.43365093,46.5044898,51.25733057
"International tourism, receipts for travel items (current US$)",ST.INT.TVLR.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32000000,45000000,28000000,74000000,80000000,102000000,100000000,111000000,112000000,178000000,184000000,220000000,219000000,323000000,246000000,220000000,209000000,217000000,250000000,258000000,311000000,209000000,141000000,168500000,112000000,43000000,,
"International tourism, receipts (current US$)",ST.INT.RCPT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477000000,393000000,334000000,473000000,361000000,324000000,300000000,295000000,326000000,316000000,347000000,246000000,171000000,196500000,140000000,50000000,,
Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.51,31.797,33.214,34.662,36.141,37.643,38.84,39.004,39.169,39.334,39.5,39.665,39.831,39.997,40.163,40.33,40.497,40.928,41.794,42.665,43.542,44.42,45.303,46.189,47.079,47.968,48.86,49.722,50.511,51.298,52.085,52.871,53.657,54.439,55.219,55.997,56.774,57.544,58.313,59.118,59.919,60.712,61.501,62.284,63.061,63.83,64.593,65.348,66.097,66.826,67.54,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,73.189,73.733,74.261,74.772
Rural population growth (annual %),SP.RUR.TOTL.ZG,,-0.09230185,-0.562471962,-0.581750827,-0.553262841,-0.73391588,-0.080738957,1.955961029,1.982051335,1.977500948,1.960852951,1.979938771,2.032661676,2.096511318,2.175540961,3.419915043,4.535675347,3.041466722,1.390737355,1.477659394,1.560706547,1.646186886,1.696003171,1.720107168,1.714172097,1.703554351,1.601742825,1.328346914,1.165385094,1.028736464,0.86491495,0.73064488,0.641925394,0.538553515,0.38093414,0.165428401,-0.018244154,-0.116230971,-0.317323381,-0.551511395,-0.576456855,-0.622398145,-0.679816979,-0.700547991,-0.674375308,-0.739705161,-0.690913238,-0.527500611,-0.476222486,-0.377807621,-0.317085021,-0.269105499,-0.217713341,-0.182649747,-0.163783327,-0.128045042,-0.124752261,-0.142598336,-0.182834594,-0.227737006,-0.317427607,-0.372904438,-0.376939621
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,99.7,,,,,,99.7,,,
"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,50.43185163,50.45076961,50.55575272,50.68237466,50.85524799,51.04387632,51.13199157,51.12868265,51.12754743,51.12755036,51.12763452,51.12750847,51.12603073,51.12373346,51.11828198,51.09384018,51.06231223,51.04046342,51.02004833,50.99831392,50.97483492,50.95042689,50.92528556,50.90061648,50.87966315,50.86189093,50.84478991,50.83270016,50.82950068,50.82958855,50.82828743,50.82451321,50.8173883,50.80947888,50.79963114,50.78485437,50.84241533,50.97678856,51.03551692,51.02074953,51.01022365,51.00112384,50.99455818,50.9926961,50.99367626,50.99546101,50.99710544,50.99621652,50.9944115,50.99136872,50.98856704,50.98624405,50.98148946,50.97572603,50.96916505,50.96263186,50.95849264,50.95545212,50.95189122,50.94652972,50.93682484,50.92412465,50.9144655
"Population, total",SP.POP.TOTL,11394307,11598608,11778260,11969451,12179099,12381256,12613389,12897115,13190975,13491016,13795915,14110271,14439748,14786469,15153602,15724692,16500516,17134192,17632645,18166981,18739378,19351357,20000096,20682111,21393530,22132905,22882553,23586101,24243018,24889507,25518074,26133905,26748303,27354327,27937006,28478022,28984634,29476031,29924668,30346083,30774621,31200985,31624696,32055883,32510186,32956690,33435080,33983827,34569592,35196037,35856344,36543541,37260563,38000626,38760168,39543154,40339329,41136546,41927007,42705368,43451666,44177969,44903225
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,89.47154278,91.1439843,92.47268017,93.89441456,95.07428036,95.78126935,96.21260598,96.40413899,96.19467338,95.77515479,95.3566983,94.97904029,94.57285518,94.06298122,93.38737484,93.49925595,94.64795427,94.91515036,94.03307206,93.00706514,91.98464768,90.99113083,89.97840199,88.91403501,87.76329803,86.51703524,85.13951491,83.79808081,82.46160332,80.96079276,79.29497429,77.62289848,76.04281469,74.36726773,72.48968857,70.23112336,67.22687508,63.762957,60.5097684,57.50565769,54.64735461,51.99765548,49.58315039,47.45030959,45.62528695,44.14969561,42.95449663,41.99043688,41.31101766,40.90841055,40.78728027,40.94613176,41.37740784,42.10668661,43.05014109,44.07380787,45.12895947,46.17252276,47.11064528,47.85841881,48.38851543,48.66750374,48.66404526
"Population ages 80 and above, male (% of male population)",SP.POP.80UP.MA.5Y,0.289444075,0.28386314,0.28179949,0.285729498,0.297059412,0.315370286,0.332639349,0.341925578,0.345466064,0.344241652,0.339482741,0.331726301,0.32094272,0.308391102,0.296033144,0.283283704,0.271104124,0.263905328,0.261044016,0.260457409,0.262830145,0.268276644,0.276923958,0.288444691,0.302513855,0.318497987,0.335220351,0.352063616,0.369743233,0.386187639,0.39910103,0.408505838,0.413833409,0.415704024,0.414919895,0.410602674,0.416778407,0.444601314,0.478198668,0.505270381,0.526369165,0.543372078,0.557690226,0.570461232,0.581841544,0.593365653,0.606146072,0.620355488,0.637553475,0.659198709,0.684335125,0.710220206,0.73371536,0.75508638,0.776260705,0.798407839,0.82147998,0.84301973,0.863949023,0.885820008,0.888625099,0.886833072,0.903124639
"Population ages 70-74, male (% of male population)",SP.POP.7074.MA.5Y,0.904241911,0.917768042,0.958873984,1.003931161,1.055288264,1.106557134,1.111268316,1.075411825,1.042818501,1.0086877,0.972917796,0.940377494,0.912980344,0.889833174,0.869955195,0.889642763,0.959202046,0.991999082,0.974674373,0.952880588,0.928146919,0.901583366,0.87468403,0.849081127,0.826764941,0.808756945,0.79500895,0.785603012,0.781498685,0.781188649,0.782940387,0.786817653,0.792070737,0.799027067,0.808204203,0.819252023,0.874916737,0.977589812,1.047677517,1.086066509,1.12959426,1.172970051,1.211583224,1.241502667,1.26062099,1.271440026,1.27681651,1.279010579,1.281647472,1.286559121,1.292064777,1.294395036,1.289632673,1.276636659,1.258487789,1.242807745,1.239436731,1.256729511,1.302231287,1.379481721,1.477246576,1.585396416,1.698713873
"Population ages 65 and above, male (% of male population)",SP.POP.65UP.MA.ZS,3.04052452,3.125732974,3.306114268,3.475173587,3.613657758,3.726420114,3.727991919,3.626349212,3.524253537,3.420923621,3.318177791,3.21970583,3.127306985,3.04090493,2.958214292,2.986564499,3.145387034,3.199909987,3.129921531,3.058925534,2.990321666,2.926447766,2.870917452,2.826421707,2.795734774,2.778764799,2.772578242,2.775702227,2.79157683,2.814725536,2.839025782,2.865590215,2.892232157,2.920461611,2.951681016,2.983034459,3.185857444,3.57086621,3.807550041,3.884798095,3.959379937,4.032802917,4.106192558,4.179373271,4.248383971,4.312299541,4.366080358,4.403179222,4.425341479,4.439333267,4.45411701,4.477460741,4.514781685,4.577616805,4.676214511,4.810134679,4.970382943,5.142666997,5.322607456,5.510133956,5.667479311,5.821213034,6.020202528
"Population ages 65-69, male (% of male population)",SP.POP.6569.MA.5Y,1.362819127,1.427604048,1.529559935,1.602968283,1.626924604,1.611598968,1.575150855,1.532674919,1.495932259,1.464090795,1.432836773,1.398063175,1.362010276,1.327421131,1.293456288,1.327089558,1.424572535,1.443209213,1.386860251,1.331931333,1.281080386,1.236120315,1.198701261,1.169518761,1.148695502,1.135489651,1.128793925,1.127995628,1.133388552,1.143362819,1.156564177,1.173128756,1.192198348,1.213770562,1.237576008,1.262667094,1.35477666,1.51635499,1.610507033,1.628565299,1.637107763,1.640661169,1.643312895,1.647986539,1.654932438,1.662418686,1.665431836,1.658936879,1.641325167,1.615595706,1.591496434,1.581452175,1.596673782,1.646899672,1.735518913,1.854519142,1.987853999,2.11900376,2.236234976,2.332149479,2.400277469,2.451635854,2.502830268
"Population ages 55-59, male (% of male population)",SP.POP.5559.MA.5Y,2.508570425,2.501757002,2.5486144,2.585445211,2.587076035,2.561301672,2.512319796,2.445623946,2.377842665,2.313477297,2.256673082,2.207865413,2.162758535,2.118529467,2.075885385,2.086871138,2.145060052,2.153019009,2.118998455,2.091792159,2.071182985,2.057330225,2.050921117,2.051594985,2.05829036,2.069335272,2.083709725,2.100879919,2.119486824,2.136206718,2.148318479,2.15360074,2.14973918,2.138454255,2.123757812,2.110085022,2.154668738,2.245091719,2.269128192,2.234534523,2.203245811,2.192275012,2.218002695,2.292764924,2.418531417,2.583480618,2.765565829,2.942006783,3.09555905,3.215910255,3.304575445,3.37087251,3.423788299,3.472059788,3.522686122,3.578759911,3.642754329,3.717066858,3.803548659,3.901577812,4.005329261,4.111721418,4.219678848
"Population ages 45-49, male (% of male population)",SP.POP.4549.MA.5Y,3.434626143,3.404016431,3.413460057,3.407884937,3.371226343,3.318421376,3.273226397,3.240892461,3.219288806,3.207089164,3.203277794,3.207951285,3.221950106,3.243414535,3.266149953,3.279699655,3.27712332,3.270570225,3.265740229,3.254654458,3.23342895,3.199841251,3.154066185,3.099216643,3.041133102,2.985116921,2.936133697,2.896812844,2.871336748,2.865273967,2.882644329,2.926505275,2.997604208,3.095054855,3.215817675,3.357823876,3.502608627,3.657206933,3.830866903,3.987805952,4.111059718,4.21047376,4.296607638,4.377796031,4.460398118,4.548744955,4.644408399,4.748657516,4.862906986,4.985292619,5.111185827,5.234621243,5.348965615,5.450902492,5.539806823,5.61658133,5.684616067,5.747094797,5.806869603,5.867174662,5.934267672,6.009311629,6.094525962
"Population ages 35-39, male (% of male population)",SP.POP.3539.MA.5Y,4.674489183,4.660145644,4.691331735,4.737190183,4.791643071,4.847803496,4.881852832,4.889367429,4.888035648,4.876337516,4.848767106,4.801468431,4.74042563,4.671524948,4.597521307,4.46372223,4.271391346,4.139115425,4.079668668,4.046426201,4.042448327,4.072539059,4.14029544,4.243396575,4.375116445,4.527514534,4.69270243,4.856406079,5.013615018,5.166045667,5.310109943,5.442731693,5.559381727,5.660480464,5.750514237,5.840136521,5.852367945,5.796711206,5.856127296,6.025793333,6.206274056,6.387889714,6.562750475,6.723148233,6.865354429,6.987646861,7.094607137,7.18981223,7.272255724,7.34488143,7.414045765,7.482592347,7.554852167,7.643981923,7.754027261,7.877025731,8.003903521,8.120448087,8.208138306,8.255375317,8.263783966,8.232423936,8.159172959
"Population ages 25-29, male (% of male population)",SP.POP.2529.MA.5Y,7.098162393,6.974090364,6.857174094,6.737634598,6.630791026,6.526745595,6.402340345,6.272287832,6.165173228,6.083368835,6.031969831,6.024398583,6.06112182,6.143865094,6.284251202,6.434218033,6.539879616,6.686028529,6.890238128,7.082599085,7.252506107,7.396680504,7.51478151,7.608811035,7.685483524,7.753530314,7.823871,7.892862497,7.967292307,8.058388141,8.157111577,8.251412138,8.329692616,8.39263521,8.448332062,8.514438509,8.579751159,8.636767605,8.727290204,8.849559151,8.976852319,9.106434277,9.243046731,9.398109978,9.57455478,9.754450324,9.933802411,10.09937903,10.21632765,10.26931582,10.25567921,10.17856795,10.0431141,9.859032233,9.636199799,9.378971024,9.101096848,8.819476357,8.537424021,8.252695708,7.962991925,7.6580158,7.335826163
Population ages 15-64 (% of total population),SP.POP.1564.TO.ZS,51.1212968,50.60862907,50.13594962,49.65866228,49.27720225,49.04200753,48.93884189,48.94920884,49.05971697,49.22360184,49.38681124,49.53724135,49.69119441,49.86846589,50.0860769,50.05566564,49.70393653,49.61549834,49.86830677,50.16037612,50.45241495,50.7369057,51.0253013,51.32593332,51.64858721,51.99643698,52.3804982,52.75546926,53.13012074,53.55634003,54.0381006,54.52832441,54.99762462,55.50478987,56.08611925,56.80486693,57.71231232,58.72387466,59.77416592,60.85429973,61.9191671,62.93806008,63.89414247,64.76187593,65.52229661,66.14522323,66.65768907,67.08056354,67.38206756,67.55728447,67.5980207,67.50061156,67.26458974,66.87410535,66.36594385,65.80602213,65.22500492,64.64996599,64.12152911,63.67237178,63.33544725,63.10592349,62.96896715
"Population ages 15-64, female (% of female population)",SP.POP.1564.FE.ZS,51.68744074,51.18956858,50.71374647,50.23547579,49.83422963,49.55296922,49.37145837,49.28341555,49.29467976,49.37009267,49.46180064,49.55951897,49.67357459,49.81577607,50.00098888,50.15048744,50.16274362,50.21080735,50.39813762,50.6244435,50.85066564,51.07026011,51.29336861,51.52758213,51.78376724,52.06641123,52.38854508,52.70560941,53.02658977,53.40486957,53.84533022,54.30039531,54.74743138,55.24344374,55.8175744,56.5291871,57.50072676,58.65025681,59.75434363,60.80441313,61.84065406,62.83268738,63.76393611,64.61074158,65.35361401,65.95922565,66.45457968,66.85965974,67.14141542,67.29454112,67.31330597,67.19613597,66.94265543,66.5495077,66.05173735,65.50315489,64.93460173,64.37132438,63.85092415,63.40407845,63.06342349,62.82585713,62.68230949
"Population ages 10-14, male (% of male population)",SP.POP.1014.MA.5Y,11.59265069,12.05785609,12.3755739,12.64473571,12.83148446,12.94030853,13.05021996,13.13290998,13.14237483,13.1498731,13.20876441,13.35888145,13.5882435,13.82496971,13.99369322,13.78216292,13.39545988,13.31782265,13.38280764,13.40949823,13.41019456,13.39334964,13.36359615,13.32014986,13.25762364,13.17445418,13.0427417,12.88059651,12.74581094,12.66087216,12.6508396,12.74036124,12.90467736,13.08039114,13.22636877,13.32110034,13.31646658,13.17306465,12.96605488,12.73893329,12.46562425,12.16439001,11.85338212,11.53057731,11.18820092,10.82353311,10.41722785,9.968496809,9.4488373,8.900299747,8.428661491,8.051336883,7.760453449,7.621050849,7.625439278,7.694750636,7.824729857,8.019979665,8.261905162,8.522901904,8.790508898,9.048663916,9.29285246
